stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
393,ARART0,"Art-sur-Meurthe",,48.658654,6.269341,,,0,
1393,ARART1,"Art-sur-Meurthe",,48.658518,6.269140,,,0,
390,ARBOS0,"Bosserville",,48.663584,6.241792,,,0,
1390,ARBOS1,"Bosserville",,48.661567,6.241284,,,0,
2813,ARBOS2,"Art-sur-Meurthe - Bosserville",,48.662562,6.245954,,,0,
663,ARCHA0,"Chartreuse",,48.661844,6.247694,,,0,
1663,ARCHA1,"Chartreuse",,48.661929,6.247941,,,0,
395,ARHUI0,"18 juin",,48.656201,6.265200,,,0,
394,ARMAI0,"Art-sur-Meurthe - Mairie",,48.655628,6.265260,,,0,
389,ARNPL0,"Napoléon",,48.666569,6.235481,,,0,
1389,ARNPL1,"Napoléon",,48.668358,6.233067,,,0,
392,ARRLN0,"Art-sur-Meurthe - Château",,48.657834,6.262142,,,0,
1392,ARRLN1,"Art-sur-Meurthe - Château",,48.657812,6.262090,,,0,
391,ARTIR0,"Repentir",,48.661533,6.255007,,,0,
1391,ARTIR1,"Repentir",,48.661527,6.254807,,,0,
488,DMDOM0,"Dommartemont",,48.711155,6.209617,,,0,
1488,DMDOM1,"Dommartemont",,48.711225,6.209296,,,0,
482,ESALT0,"Alouettes",,48.710338,6.219629,,,0,
1482,ESALT1,"Alouettes",,48.710236,6.219583,,,0,
502,ESBCH0,"Bois Châtel",,48.712407,6.222405,,,0,
1502,ESBCH1,"Bois Châtel",,48.712749,6.221914,,,0,
1505,ESBOP0,"Beaupré",,48.716871,6.221739,,,0,
26,ESBRI0,"Clinique Pasteur",,48.703265,6.217413,,,0,
1026,ESBRI1,"Clinique Pasteur",,48.703053,6.216442,,,0,
783,ESBUR0,"La Bure",,48.715761,6.222371,,,0,
707,ESCES0,"Essey Emile Gallé",,48.700117,6.220730,,,0,
1707,ESCES1,"Emile Gallée",,48.700722,6.222624,,,0,
503,ESCHL0,"Chanoine Laurent",,48.707545,6.219165,,,0,
1503,ESCHL1,"Chanoine Laurent",,48.706896,6.219319,,,0,
471,ESCLM0,"Joseph Huet",,48.701598,6.206022,,,0,
1471,ESCLM1,"Joseph Huet",,48.701692,6.206014,,,0,
415,ESCLN0,"Colonies",,48.707415,6.234826,,,0,
1415,ESCLN1,"Colonies",,48.707087,6.234294,,,0,
430,ESCSR0,"Quartier Kléber",,48.703711,6.230219,,,0,
504,ESFAL1,"Essey La Fallée",,48.710558,6.221891,,,0,
1504,ESFAL2,"Essey La Fallée",,48.710043,6.221368,,,0,
2044,ESFAL3,"Essey La Fallée",,48.709919,6.220229,,,0,
414,ESFYR0,"Edith Piaf",,48.708933,6.238753,,,0,
1414,ESFYR1,"Edith Piaf",,48.709123,6.239431,,,0,
799,ESGRI0,"Grives",,48.710556,6.220806,,,0,
416,ESKLB0,"69ème RI",,48.705504,6.230237,,,0,
1416,ESKLB1,"69ème RI",,48.705418,6.230275,,,0,
739,ESKLE0,"Quartier Kléber",,48.703506,6.229973,,,0,
2039,ESMET0,"Mère Térésa",,48.704437,6.227382,,,0,
3039,ESMET1,"Mère Térésa",,48.704180,6.227441,,,0,
28,ESMZM0,"Essey Mouzimpré",,48.701179,6.224760,,,0,
1028,ESMZM3,"Essey Mouzimpré",,48.701711,6.224781,,,0,
1670,ESMZM6,"Mouzimpré",,48.701835,6.224848,,,0,
1461,ESMZM7,"Mouzimpré",,48.701593,6.225725,,,0,
755,ESONC0,"Tronc qui fume",,48.708985,6.243775,,,0,
1755,ESONC1,"Tronc qui fume",,48.709125,6.244073,,,0,
501,ESOPP0,"Oppidum",,48.713967,6.221268,,,0,
1501,ESOPP1,"Oppidum",,48.713841,6.221591,,,0,
628,ESPCT2,"Essey Mairie",,48.705158,6.222206,,,0,
27,ESROO0,"Essey Roosevelt",,48.704399,6.221129,,,0,
612,ESROO1,"Essey Roosevelt",,48.704002,6.221165,,,0,
1027,ESROO2,"Essey Roosevelt",,48.703713,6.220981,,,0,
429,ESSBL0,"Porte Verte",,48.706853,6.245049,,,0,
1429,ESSBL1,"Essey Porte Verte",,48.705077,6.245623,,,0,
1960,ESSBL2,"Porte Verte",,48.704498,6.246682,,,0,
500,ESSOL0,"Plein Soleil",,48.715501,6.221296,,,0,
483,ESTAM0,"Essey Tamaris",,48.710566,6.218486,,,0,
1483,ESTAM1,"Essey Tamaris",,48.710440,6.218423,,,0,
261,FLAUT0,"Champs Moyen",,48.617551,6.203450,,,0,
1261,FLAUT1,"Champs Moyen",,48.617663,6.203467,,,0,
675,FLCAD0,"Ader",,48.612593,6.184993,,,0,
1937,FLCAD1,"Ader",,48.612637,6.185293,,,0,
176,FLCHT0,"Château",,48.625632,6.203237,,,0,
1176,FLCHT1,"Château",,48.625673,6.203133,,,0,
178,FLCSL0,"Croix du Soldat",,48.628284,6.207399,,,0,
1178,FLCSL1,"Croix du Soldat",,48.629202,6.208347,,,0,
674,FLDSC0,"Descartes",,48.613147,6.182201,,,0,
1938,FLDSC1,"Descartes",,48.612977,6.182811,,,0,
463,FLDUC0,"Ducret",,48.623501,6.202245,,,0,
262,FLEFF0,"Eiffel",,48.612237,6.197002,,,0,
1262,FLEFF1,"Eiffel",,48.612389,6.197479,,,0,
175,FLFLR0,"Fleurychamp",,48.623231,6.199073,,,0,
3806,FLHFL0,"Haut de Fléville",,48.624324,6.191391,,,0,
177,FLMAI0,"Fléville Mairie",,48.626319,6.206192,,,0,
1177,FLMAI1,"Fléville Mairie",,48.625868,6.205991,,,0,
260,FLNOU0,"FLEVILLE",,48.621515,6.202250,,,0,
1260,FLNOU1,"FLEVILLE",,48.621523,6.202314,,,0,
179,FLOBO0,"L'Orée du Bois",,48.643908,6.210336,,,0,
1179,FLOBO1,"L'Orée du Bois",,48.644034,6.210367,,,0,
673,FLPST0,"Pasteur",,48.615028,6.181276,,,0,
1959,FLPST1,"Pasteur",,48.615118,6.181412,,,0,
265,FLZIN0,"Fresnel",,48.615150,6.190602,,,0,
326,HDCCO0,"Houdemont Porte Sud",,48.637408,6.185355,,,0,
1326,HDCCO1,"Houdemont Porte Sud",,48.637414,6.184987,,,0,
2326,HDCCO2,"Houdemont Porte Sud",,48.637362,6.185148,,,0,
164,HDERB0,"Erables",,48.642402,6.182227,,,0,
1164,HDERB1,"Erables",,48.642725,6.182044,,,0,
666,HDGAR0,"Houdemont Gare",,48.644921,6.181981,,,0,
1666,HDGAR1,"Houdemont Gare",,48.645035,6.181792,,,0,
94,HDLAV0,"Houdemont Mairie",,48.645263,6.175285,,,0,
1094,HDLAV1,"Houdemont Mairie",,48.645234,6.175228,,,0,
89,HDMAJ0,"Poncel",,48.636674,6.178994,,,0,
1089,HDMAJ1,"Poncel",,48.636638,6.178857,,,0,
93,HDMAN0,"Montauban",,48.644288,6.176514,,,0,
1093,HDMAN1,"Montauban",,48.644177,6.176451,,,0,
92,HDMNC0,"Mancés",,48.642213,6.177157,,,0,
1092,HDMNC1,"Mancés",,48.641949,6.177021,,,0,
88,HDMON0,"Les Egrez",,48.638932,6.180756,,,0,
1088,HDMON1,"Les Egrez",,48.638265,6.180746,,,0,
791,HDMON2,"Houdemont Les Egrez",,48.638527,6.180448,,,0,
657,HDMUR0,"Les Mûriers",,48.650111,6.183633,,,0,
1657,HDMUR1,"Les Mûriers",,48.650008,6.183409,,,0,
95,HDRCH0,"La Ronchère",,48.650122,6.176547,,,0,
1095,HDRCH1,"La Ronchère",,48.648914,6.175946,,,0,
90,HDRUZ0,"Rouzé",,48.638585,6.177604,,,0,
1090,HDRUZ1,"Rouzé",,48.638392,6.177651,,,0,
187,HDTEN0,"Parc Embanie",,48.647499,6.196503,,,0,
1187,HDTEN1,"Parc Embanie",,48.647516,6.196558,,,0,
180,HLBSC0,"Besançon",,48.647635,6.208858,,,0,
1180,HLBSC1,"Besançon",,48.648521,6.208745,,,0,
736,HLCRO0,"Port Cros",,48.653675,6.202727,,,0,
1736,HLCRO1,"Port Cros",,48.653754,6.202546,,,0,
181,HLCRT0,"HEILLECOURT",,48.648106,6.209784,,,0,
730,HLDAM0,"Pré la Dame",,48.651609,6.207938,,,0,
1730,HLDAM1,"Pré la Dame",,48.650853,6.207948,,,0,
1189,HLECO1,"Emile Gallé",,48.652702,6.193535,,,0,
186,HLEMB0,"Chateaubriand",,48.644988,6.196704,,,0,
1186,HLEMB1,"Chateaubriand",,48.644936,6.196737,,,0,
190,HLGRU0,"Grande Rue",,48.652699,6.186376,,,0,
1190,HLGRU1,"Grande Rue",,48.652633,6.186490,,,0,
745,HLHLL0,"Route d'Heillecourt",,48.652582,6.183679,,,0,
274,HLHSS0,"Husson",,48.654833,6.199658,,,0,
183,HLHUG0,"Victor Hugo",,48.646126,6.205846,,,0,
1183,HLHUG1,"Victor Hugo",,48.646436,6.205618,,,0,
915,HLMAI0,"Heillecourt - Mairie",,48.653571,6.195777,,,0,
1915,HLMAI1,"Heillecourt - Mairie",,48.653667,6.195868,,,0,
185,HLMOR0,"Morlaix",,48.641377,6.197636,,,0,
1185,HLMOR1,"Morlaix",,48.641431,6.197710,,,0,
182,HLPLD0,"Vanoise",,48.647468,6.206299,,,0,
1182,HLPLD1,"Vanoise",,48.648119,6.206381,,,0,
516,HLRFL0,"Route de Fléville",,48.656053,6.206671,,,0,
1516,HLRFL1,"Route de Fléville",,48.655836,6.206825,,,0,
165,HLRHL0,"Route d'Heillecourt",,48.652338,6.184825,,,0,
191,HLRHL1,"Route d'Heillecourt",,48.652569,6.184448,,,0,
1165,HLRHL2,"Route d'Heillecourt",,48.652362,6.184647,,,0,
1273,HLRTN0,"La Rotonde",,48.656854,6.198914,,,0,
273,HLRTN1,"La Rotonde",,48.656958,6.198748,,,0,
188,HLTLI0,"Temps Libre",,48.650480,6.194064,,,0,
1188,HLTLI1,"Temps Libre",,48.650511,6.194158,,,0,
272,HLVSB0,"Vigne des Sables",,48.659603,6.197682,,,0,
184,HLVSL0,"Versailles",,48.644220,6.201457,,,0,
1184,HLVSL1,"Versailles",,48.644243,6.201357,,,0,
253,JRALS0,"Alsace-Bonsecours",,48.676220,6.199713,,,0,
1253,JRALS1,"Alsace-Bonsecours",,48.675227,6.200774,,,0,
201,JRCLF0,"Jarville Californie",,48.673574,6.206672,,,0,
1201,JRCLF1,"Jarville Californie",,48.673569,6.206477,,,0,
